id,slug,pillar,wc,n_links,banned,banned_examples,alcohol_terms,score,action,title,link
1372,the-complete-guide-to-quiet-luxury,"fashion/style,guides",2654,0,1,bespoke,wine,58.2,halal-violation,The Complete Guide to Quiet Luxury: Why Stealth Wealth Is Reshaping Fashion in 2026,https://www.arahkaii.com/fashion/the-complete-guide-to-quiet-luxury/
1389,the-complete-guide-to-investment-dressing,"fashion/style,guides",1562,0,0,,cognac,60.2,halal-violation,The Complete Guide to Investment Dressing,https://www.arahkaii.com/fashion/the-complete-guide-to-investment-dressing/
1540,the-10-best-shows-of-milan-fashion-week-fw26-ranked,fashion/style,1633,0,0,,cocktail,60.2,halal-violation,"The 10 Best Shows of Milan Fashion Week FW26, Ranked",https://www.arahkaii.com/fashion/the-10-best-shows-of-milan-fashion-week-fw26-ranked/
1474,dopamine-dressing-science-mood-fashion,fashion/style,2505,0,0,,sake,60.2,halal-violation,The Science of Dressing for Joy: What Dopamine Dressing Actually Does to Your Mind,https://www.arahkaii.com/fashion/dopamine-dressing-science-mood-fashion/
688,editors-note-the-beginning-of-something-new,culture,1684,0,0,,sake,60.2,halal-violation,Editor’s Note: The Beginning of Something New,https://www.arahkaii.com/culture/editors-note-the-beginning-of-something-new/
1782,halal-fine-dining-singapore-2026,dining,2285,2,1,bespoke,wine,61.2,halal-violation,Best Halal Fine Dining Restaurants in Singapore (2026),https://www.arahkaii.com/dining/halal-fine-dining-singapore-2026/
983,southeast-asian-cities-digital-nomad-luxury-lifestyle-2,travel,718,0,1,vibrant,,60.2,heavy-refresh,The 5 Southeast Asian Cities Redefining the Digital Nomad Luxury Lifestyle,https://www.arahkaii.com/travel/southeast-asian-cities-digital-nomad-luxury-lifestyle-2/
830,the-conscious-luxury-manifesto-sustainable-living,"living,culture",784,0,1,now more than ever,,61.0,heavy-refresh,"The Conscious Luxury Manifesto: How to Travel, Dress and Live Sustainably Without Compromi",https://www.arahkaii.com/living/the-conscious-luxury-manifesto-sustainable-living/
1508,wired-earphones-fashion-trend-comeback-2026,fashion/style,1465,0,1,iconic,,61.2,heavy-refresh,Why Wired Headphones Are Back: Gen Z&#8217;s Most Unexpected Fashion Trend of 2026,https://www.arahkaii.com/fashion/wired-earphones-fashion-trend-comeback-2026/
1330,the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics,"fashion/style,guides",1799,0,1,iconic,,61.2,heavy-refresh,The Self-Gift Guide: 7 &#8216;Future Vintage&#8217; Designer Bags Poised to Become Classic,https://www.arahkaii.com/fashion/the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics/
